,Absorbs,Attack,Attack_Visual,Control,Defense,Drops,Exp,Elemental_Immunity,Evasion,Gil,HP,ID,Imp_Criticals,Inherent_Status,Level,Location,MP,MP_Kill,Magic_Attack,Magic_Defense,Magic_Evasion,Metamorphose,Other_Immunity,Rage,Run_Difficulty,SNES_Name,Sketch,Special_Attack,Speed,Status_Immunity,Steal,Type,Vulnerable_to,Weak_Against,Boss,iOS,Dragon_Den
Glutturn (Yellow) [Asks for X-Ether],"Fire, Ice, Lightning, Poison, Wind, Holy, Earth, Water",120,Fist,Attack,150,None,50000,None,255,50000,50000,39,No,None,91,Soul Shrine,60000,No,100,255,255,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,,"Attack (3/4), Thundaga (1/4)",Punish (inflicts 'Slow'),95,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Master's Scroll (1/8),N/A,None,None,0,1,0
Gobbledygook,None,13,Dagger,"Attack, Golden Wrench, Vanish",85,None,104,None,0,126,350,64,No,None,15,Zozo [WoB & WoR],20,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Vanish,Easy,Gabbldegak,"Vanish (3/4), Golden Wrench (1/4)",Golden Wrench (150% damage),30,None,"Eye Drops (7/8), Phoenix Down (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Goddess,"Lightning, Holy",13,Magical Brush,"Attack, Hit",85,Excalibur (Always),0,None,0,0,44000,354,No,"Haste, Shell",68,"Kefka's Tower (Room after Guardian, Right Party) [WoR]",19000,No,14,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Goddess,"Attack (3/4), Hit (1/4)",Hit (150% damage),50,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Minerva Bustier (1/8),N/A,Image,None,1,0,0
Goetia,Poison,20,Fist,"Attack, Bacteria, Bio",120,Hi-Potion (1/8),145,None,0,235,499,67,Yes,None,16,Opera House (While trying to stop Ultros),40,No,10,190,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Libra,Can't Run Away,Vermin,"Bio (3/4), Bacteria (1/4)",Bacteria (inflicts 'Sap'),35,None,"Hi-Potion (7/8), Antidote (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Ice,0,0,0
Gold Bear,None,13,Dragon Claws,"Attack, Gouge",40,Hi-Potion (1/8),160,None,0,185,275,29,Yes,None,13,South Figaro Cave (Locke's Scenario) [WoB],0,No,10,140,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Gouge,Easy,Gold Bear,"Attack (3/4), Gouge (1/4)",Gouge (250% damage),25,None,"Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,0,0,0
Gold Dragon,Lightning,13,Fist,"Attack, Hit",110,Crystal Orb (Always),0,None,0,0,32400,339,No,None,62,Kefka's Tower (2nd Party) [WoR],4000,Yes,10,150,0,"Crystal Sword, Crystal Shield, Crystal Helm, Crystal Mail (32/256)",Control,None,Can't Run Away,Gold Drgn,"Thundaga (3/4), Blizzaga (1/4)",Hit (400% damage),75,"Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Confusion, Sap, Sleep, Slow, Stop",None,N/A,"Darkness, Poison, Image, Berserk",Water,1,0,0
Gold Dragon #2,Lightning,40,Fist,Attack,150,Zwill Crossblade (Always),0,None,20,0,60000,377,No,None,97,Dragon's Den (Dragon Temple) [WoR],18000,Yes,15,150,10,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"Attack (3/4), Thundaga (1/4)",Mighty Claw (inflicts 'Confusion'),80,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",X-Ether (1/8),N/A,Nothing,Water,0,1,1
Gorgias,None,28,Fist,"Attack, Gore",100,Gold Needle (1/8),163,None,0,102,270,19,Yes,None,10,Mt. Kolts (Caves and Slopes) [WoB],100,No,10,135,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Snowstorm,Easy,Tusker,"Snowstorm (3/4), Gore (1/4)",Gore (200% damage),30,None,"Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Fire,0,0,0
Gorgimera,None,40,Trident,"Attack, Flare Star, Avalanche, Aero",150,None,4928,None,0,1889,7191,153,No,None,36,Cave on the Veldt [WoR],354,No,15,160,0,"Potion, Potion, Potion, Ice Shield (32/256)",None,Avalanche,Can't Run Away,Rhyos,"Avalanche (3/4), El Niño (1/4)",Rampage (200% damage),60,"Darkness, Imp, Petrify, Death, Doom, Critical, Silence Berserk, Confusion",Golden Spear (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Image, Sap, Sleep Slow, Stop",None,0,0,0
Grasswyrm,None,13,Fist,"Attack, Wing Snap, Berserk",115,Echo Screen (1/8),278,None,0,234,480,72,No,Float,17,"Grass on Southern Continent (Around Vector, Maranda, and Tzen)",20,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Berserk,Easy,WeedFeeder,"Lifeshaver (3/4), Wing Snap (1/4)",Wing Snap (inflicts 'Berserk'),30,"Darkness, Imp, Silence, Sleep",Antidote (Always),N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Berserk, Confusion, Sap, Slow, Stop","Fire, Wind",0,0,0
Great Behemoth,None,7,Fist,"Attack, Haymaker, Meteor, Firaga",90,None,4100,None,0,2900,11000,253,No,None,58,Kefka's Tower (All Parties,700,No,10,105,0,"Potion, Potion, Potion, Elixir (32/256)",None,Meteor,Can't Run Away,GtBehemoth,"Meteor (3/4), Haymaker (1/4)",Haymaker (400% damage),35,"Darkness, Imp, Petrify, Death, Doom, Silence, Confusion",Tigerfang (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Critical, Image, Berserk Sap, Sleep, Slow, Stop",None,0,0,0
Great Dragon,None,53,Fist,"Attack, Southern Cross, Atomic Rays",155,Dragon Horn (1/8),5000,None,0,0,28000,265,No,None,77,Dragon's Den [WoR],2200,No,11,100,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,,"Atomic Rays (3/4), Southern Cross (1/4)",Devastate (400% damage),61,"Imp, Petrify, Death, Doom, Critical, Silence, Berserk Confusion, Sap","Phoenix Down (7/8), Elixir (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Sleep Slow, Stop",Lightning,0,1,1
Great Malboro,"Ice, Lightning, Poison, Wind, Holy, Earth, Water",13,Fist,"Attack, Poison, Snort, Bad Breath",115,None,2800,None,0,1320,7000,249,No,None,56,Kefka's Tower (All Parties,500,No,6,105,0,"Remedy, Remedy, Remedy, Remedy (64/256)",None,Bio,Hard,Evil Oscar,"Bad Breath (3/4), Poison (1/4)",Infernal Kiss (inflicts 'Death'),30,"Darkness, Silence",Teleport Stone (7/8),N/A,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Berserk, Confusion, Sap, Sleep Slow, Stop",Fire,0,0,0
Greater Mantis,None,180,Rune Blade,"Attack, Mind Reaper, Wind Slash",145,None,4612,None,0,501,4500,181,No,None,54,"South-Western Continent (Forest, Wasteland) [WoR] Northern-Middle Continent (Grass) [WoR] North-Eastern Continent (Grass) [WoR]",420,No,10,100,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (64/256)",None,Wind Slash,Hard,Mantodea,"Wind Slash (3/4), Mind Reaper (1/4)",Mind Reaper (steals MP),45,"Darkness, Imp, Petrify, Death, Doom, Critical, Sap Sleep",Impartisan (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Image, Silence, Berserk Confusion, Slow, Stop",Fire,0,0,0
Grenade,Fire,13,Fist,"Attack, Mesmerize, Blaze, Fireball",0,None,190,None,0,500,3000,73,No,Float,17,Forest to the West of Veldt,500,No,10,150,0,"Potion, Potion, Potion, Flame Shield (32/256)",Meteor Strike,Blaze,Easy,Grenade,"Blaze (3/4), Mesmerize (1/4)",Mesmerize (inflicts 'Berserk'),30,"Imp, Petrify",Flame Scroll (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Death, Doom Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop","Ice, Water",0,0,0
Guard,None,16,Dagger,Attack,100,Potion (1/8),48,None,0,48,40,1,No,None,5,"Narshe (Biggs, Wedge, Terra raid) [WoB] Vector (Go to the skinny house to the left of the Inn and say No when the lady asks if you're loyal to the Empire) [WoB]",15,No,6,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Critical,Easy,Guard,Attack (Always),Critical (150% damage),30,None,"Potion (7/8), Hi-Potion (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Guard Leader,None,60,Dagger,"Attack, Charge, Thundara",110,Hi-Potion (Always),0,None,0,350,420,278,No,None,8,Narshe Mines (after protecting Terra with Mog),150,No,9,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,Wind Slash,Can't Run Away,Marshal,"Attack (3/4), Charge (1/4)",Charge (200% damage),40,"Poison, Invisible",Mythril Knife (7/8),Humanoid,"Darkness, Zombie, MagiTek, Imp, Petrify, Death, Doom Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop",Poison,1,0,0
Guardian,None,13,Fist,"Attack, Ink, Plasma",150,None,0,None,0,0,60000,352,No,None,67,Kefka's Tower (After Room with Three Switches) [WoR],5200,No,25,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Guardian,"Mighty Guard (3/4), Ink (1/4)",Ink (150% damage),80,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Stop","Force Armor (7/8), Ribbon (1/8)",N/A,Slow,"Lightning, Water",1,0,0
Guardian #2,None,250,Fist,"Attack, Hit",235,None,0,None,50,0,50000,7,No,None,71,Vector,5000,No,10,185,50,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Hard,Guardian,"Attack (3/4), Hit (1/4)",Hit (150% damage),50,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,N/A,None,None,0,0,0
Harvester,None,13,Rune Blade,"Attack, Sickle, Drain",105,Barrier Ring (1/8),291,None,0,314,428,62,No,"Float, Haste",16,Zozo [WoB & WoR],85,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Haste,Easy,Harvester,"Dancing Flame (3/4), Sickle (1/4)",Sickle (150% damage),50,"Imp, Slow, Stop","Silver Spectacles (7/8), Dragoon Boots (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep",Poison,0,0,0
Heavy Armor,None,53,Fist,"Attack, Metal Knuckles, Magitek Laser",150,None,80,None,0,195,495,24,No,Protect,13,"South Figaro (Locke's scenario; not recommended, very difficult) [WoB] Narshe Cliffs (While protecting Bannon from Kefka) [WoB]",150,No,11,110,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Magitek Laser,Easy,HeavyArmor,"Magitek Laser (3/4), Metal Knuckles (1/4)",Metal Knuckles (150% damage),40,"Zombie, Poison, MagiTek, Imp, Petrify, Sap","Potion (7/8), Iron Helm (1/8)",N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Hell's Rider,None,48,Trident,"Attack, Silver Lance, Venomist",120,Remedy (Always),400,None,0,1290,1300,286,No,None,14,Narshe Cliffs (While protecting Bannon from Kefka),170,No,10,150,0,"Golden Spear, Golden Shield, Golden Helm, Golden Armor (64/256)",None,Venomist,Can't Run Away,Rider,"Venomist (3/4), Silver Lance (1/4)",Silver Lance (300% damage),45,"Zombie, Invisible, Imp, Confusion","Mythril Vest (7/8), Elixir (1/8)",Humanoid,"Darkness, Poison, MagiTek, Petrify, Death, Doom, Critical Image, Silence, Berserk, Sap, Sleep, Slow, Stop","Fire, Poison",1,0,0
Hexadragon,None,55,Dragon Claws,"Attack, Firaga, Flare Star, Meltdown",95,None,5000,None,0,1500,26000,272,No,Poison,73,Dragon's Den (Grand Cavern) [WoR],750,No,16,50,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,,"Firaga (3/4), Meltdown (1/4)",Breath (inflicts 'Petrify'),47,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep, Slow, Stop","Remedy (7/8), X-Potion (1/8)",N/A,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap","Fire, Holy",0,1,1
Hidon,Poison,13,Partisan,"Attack, Hit",110,Teleport Stone (Always),0,None,0,0,25000,332,No,None,43,Ebot's Rock (Past Coral-eating chest) [WoR],12500,No,10,160,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Hidon,"Attack (3/4), Hit (1/4)",Hit (150% damage),55,"Darkness, Zombie, Poison, Invisible, Imp, Petrify, Death Doom, Silence, Berserk, Confusion, Sap, Sleep, Stop","Teleport Stone (7/8), Thornlet (1/8)",Undead,"MagiTek, Critical, Image, Slow","Fire, Holy, Earth",1,0,0
Hill Gigas,Earth,18,Fist,"Attack, Headbutt, Magnitude 8",125,None,550,None,0,600,1200,63,Yes,None,16,Zozo (Outside) [WoB & WoR],60,No,5,115,0,"Potion, Potion, Potion, Organyx (32/256)",None,Magnitude 8,Easy,HadesGigas,"Magnitude 8 (3/4), Headbutt (1/4)",Headbutt (400% damage),40,None,Gigas Glove (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Holy Dragon,Holy,13,Fist,"Attack, Holy, Holy, Holy",110,None,0,None,0,0,18500,344,No,None,71,Cultists' Tower (25th Floor) [WoR],12000,No,9,150,0,"Angel Ring, Angel Ring, Safety Bit, Guard Bracelet (32/256)",Control,Holy,Can't Run Away,White Drgn,"Holy (3/4), Flare (1/4)",Hit (150% damage),55,"Poison, Invisible, Imp, Petrify, Death, Doom, Critical Image, Berserk, Confusion, Sap, Sleep","X-Potion (7/8), Holy Lance (1/8)",N/A,"Darkness, Zombie, MagiTek, Silence, Slow, Stop",None,1,0,0
Holy Dragon #2,Holy,30,Fist,Attack,150,Zanmato (Always),0,None,10,0,55000,382,No,Regen,97,Dragon's Den (Holy Palace) [WoR],22000,No,22,200,40,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,Holy,Can't Run Away,,"Attack (3/4), Holy (1/4)",Heavenly Wrath (300% damage),65,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Elixir (1/8),N/A,Nothing,None,0,1,1
Hornet,None,16,Ice Rod,"Attack, Iron Stinger",100,None,48,None,0,64,92,12,No,Float,6,South Figaro Cave (Only before Locke's Scenario) [WoB],0,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Iron Stinger,Easy,Hornet,"Attack (3/4), Iron Stinger (1/4)",Iron Stinger (150% damage),30,Imp,Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Fire,0,0,0
Humbaba,Lightning,15,Fist,"Attack, Solar Plexus",100,None,0,None,0,0,26000,309,Yes,None,31,Mobliz (2nd fight) [WoR],10000,No,6,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Phunbaba,"Attack (3/4), Solar Plexus (1/4)",Solar Plexus (300% damage),35,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Slow Stop",None,N/A,"Darkness, Image, Sleep",Poison,1,0,0
Humbaba #2,Lightning,53,Fist,"Attack,",102,None,0,None,0,0,60000,17,Yes,None,26,(1st Fight; supposed to lose),10000,No,10,153,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Phunbaba,"Attack (3/4), Solar Plexus (1/4)",Solar Plexus (300% damage),30,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop",None,N/A,None,Poison,0,0,0
Humbaba #3,Lightning,15,Fist,"Attack,",105,None,0,None,0,0,28000,18,Yes,None,31,Mobliz (2nd Fight [after Terra gets defeated easily]),10000,No,6,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Phunbaba,"Attack (3/4), Hit (1/4)",Solar Plexus (300% damage),30,"Zombie, Poison, MagiTek, Imp, Petrify, Death, Doom, Critical Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop",None,N/A,None,Poison,0,0,0
Humbaba #4,Lightning,15,Fist,"Attack,",100,None,0,None,0,0,26000,19,Yes,None,31,Unknown,10000,No,6,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Phunbaba,"Attack (3/4), Hit (1/4)",Solar Plexus (300% damage),35,"Zombie, Poison, MagiTek, Imp, Petrify, Death, Doom, Critical, Silence, Berserk, Confusion, Sap, Slow, Stop",None,N/A,None,Poison,0,0,0
Humpty,Poison,8,Fist,"Attack, Hug, Poison",145,None,421,None,0,326,800,134,Yes,None,27,South Figaro Cave [WoR] Figaro Castle (Basement & Engine Room) [WoR],100,Yes,10,135,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (64/256)",None,Poison,Easy,Humpty,"Poison (3/4), Hug (1/4)",Hug (inflicts 'Confusion'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Green Cherry (7/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Hunting Hound,None,16,Dragon Claws,"Attack, Bite",75,None,115,None,0,55,285,55,No,None,13,Narshe Cliffs (While protecting Bannon from Kefka),50,No,10,140,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Bite,Can't Run Away,Bounty Man,"Attack (3/4), Bite (1/4)",Bite (150% damage),32,None,Hi-Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Fire,0,0,0
Ice Dragon,Ice,13,Fist,"Attack, Hit",110,Force Shield (Always),0,None,0,0,24400,340,No,None,74,Narshe Cliffs [WoR],9000,Yes,10,150,0,"Crystal Sword, Crystal Shield, Crystal Helm, Crystal Mail (32/256)",Control,None,Can't Run Away,Ice Dragon,"Blizzaga (3/4), Firaga (1/4)",Hit (200% damage),60,"Zombie, MagiTek, Invisible, Imp, Petrify, Death, Critical Sleep, Stop",None,N/A,"Darkness, Poison, Doom, Image, Silence, Berserk, Confusion Sap, Slow",Fire,1,0,0
Ice Dragon #2,Ice,40,Fist,Attack,150,Final Trump (Always),0,None,20,0,32000,378,No,None,97,Dragon's Den (Dragon Labyrinth) [WoR],20000,Yes,15,150,20,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"Attack (3/4), Blizzaga (1/4)",Freeze (inflicts 'Stop'),70,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,N/A,Nothing,Fire,0,1,1
Ifrit,Fire,25,Fist,"Attack, Hit",215,None,0,"Lightning, Poison, Wind, Holy, Earth, Water",20,0,3300,290,No,None,21,Magitek Research Facility,600,No,7,115,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,Ifrit,"Attack (3/4), Hit (1/4)",Hit (150% damage),35,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Stop",None,N/A,"Darkness, Slow",Ice,1,0,0
Illuyankas,Lightning,10,Fist,"Attack, Thundaga, Gigavolt",130,"Green Cherry (7/8), White Cape (1/8)",1000,None,0,850,2000,192,Yes,Protect,33,Yeti's Cave (Everywhere) [WoR],100,Yes,10,150,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Gigavolt,Easy,Ceritops,"Gigavolt (3/4), Imp (1/4)",Friendmaker (inflicts 'Imp'),34,"Darkness, Poison, Petrify, Death, Doom, Critical, Confusion",None,N/A,"Zombie, MagiTek, Invisible, Imp, Image, Silence, Berserk Sap, Sleep, Slow, Stop",Fire,0,0,0
Imperial Elite,None,13,Rune Blade,"Attack, Gut Strike, Protect",100,Magicite Shard (1/8),200,None,0,0,700,92,Yes,Protect,21,Imperial Banquet (Talk to soldier during Break),20,No,10,140,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",None,Protect,Can't Run Away,Sp Forces,"Attack (3/4), Gut Strike (1/4)",Gut Strike (300% damage),40,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",None,Humanoid,Imp,Poison,0,0,0
Imperial Soldier,None,12,Rune Blade,"Attack, Libra",80,Potion (1/8),0,None,0,48,100,37,No,None,11,Doma Castle (Sabin's Scenario) Imperial Camp (Talk to a soldier),15,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Fire,Can't Run Away,Soldier,"Attack (3/4), Libra (1/4)",Counterattack (150% damage),30,"Darkness, Sleep","Hi-Potion (7/8), Potion (1/8)",Humanoid,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop",Poison,0,0,0
Imperial Soldier #2,None,1,Partisan,"Attack, Counterattack",1,None,0,None,0,0,1,30,No,"Sleep, Stop",2,Narshe (Terra's Flashback from beginning of game; These are the units she kills for Kefka),50,No,1,1,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Sketch, Control",Fire,Can't Run Away,Soldier,"Attack (3/4), Counterattack (1/4)",Hit (150% damage),1,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",None,N/A,None,None,0,0,0
Inferno,Fire,13,Rune Blade,"Attack, Sobat",130,None,0,None,0,0,30800,348,No,None,67,Kefka's Tower (Magitek Factory; 3rd Party) [WoR],9700,No,10,145,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Inferno,"Attack (3/4), Sobat (1/4)",Sobat (300% damage),45,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Silence, Berserk, Confusion, Sap, Sleep, Stop",Ice Shield (1/8),N/A,"Darkness, Critical, Image, Slow",Lightning,1,0,0
InnoSent,None,13,Fist,"Attack, Lv. ? Holy",155,None,2400,None,0,1950,6600,257,No,Float,52,Kefka's Tower (1st Party,390,No,12,155,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Venomist,Hard,Innoc,"Attack (3/4), Lv. ? Holy (1/4)",Brainblast (inflicts 'Confusion'),33,"Zombie, Poison, MagiTek, Imp, Petrify, Sap, Stop",Bioblaster (1/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow","Lightning, Water",0,0,0
Intangir,"Fire, Ice, Lightning, Poison, Wind, Holy, Earth, Water",25,Fist,"Attack, Sleep, Transfusion",150,Antidote (1/8),0,None,50,0,32000,97,Yes,"Invisible, Float, Haste, Shell, Protect",26,Triangle Island,16000,Yes,10,150,0,"Potion, Potion, Potion, Megalixir (32/256)",None,Transfusion,Easy,Intangir,"Traveler (3/4), Sleep (1/4)",Sleep (unblockable; bestows 'Invisible'),50,"Darkness, Zombie, Poison, MagiTek, Imp, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Sleep",Magicite Shard (1/8),N/A,"Invisible, Image, Slow, Stop",None,0,0,0
